credit-application-result,account-balance,duration-of-credit-month,payment-status-of-previous-credit,purpose,credit-amount,value-savings-stocks,length-of-current-employment,installment-per-cent,most-valuable-available-asset,age-years,type-of-apartment,no-of-credits-at-this-bank
Creditworthy,Some Balance,4,Paid Up,Other,1494,£100-£1000,< 1yr,1,1,33.0,2,1
Creditworthy,Some Balance,4,Paid Up,Home Related,1494,£100-£1000,< 1yr,1,1,29.0,2,1
Creditworthy,Some Balance,4,No Problems (in this bank),Home Related,1544,None,1-4 yrs,2,1,42.0,2,More than 1
Creditworthy,Some Balance,4,No Problems (in this bank),Home Related,3380,None,1-4 yrs,1,1,37.0,2,1
Creditworthy,No Account,6,Paid Up,Home Related,343,None,< 1yr,4,1,27.0,2,1
Creditworthy,Some Balance,6,No Problems (in this bank),Home Related,362,< £100,< 1yr,4,3,52.0,2,More than 1
Non-Creditworthy,No Account,6,Some Problems,Home Related,433,£100-£1000,< 1yr,4,2,24.0,1,1
Creditworthy,No Account,6,Paid Up,Home Related,454,None,< 1yr,3,2,22.0,2,1
Creditworthy,No Account,6,Paid Up,Home Related,484,None,1-4 yrs,3,1,28.0,2,1
Creditworthy,Some Balance,6,Paid Up,Home Related,660,£100-£1000,1-4 yrs,2,1,23.0,1,1
Creditworthy,No Account,6,No Problems (in this bank),Home Related,666,£100-£1000,1-4 yrs,3,1,39.0,2,More than 1
Creditworthy,Some Balance,6,No Problems (in this bank),Home Related,700,£100-£1000,4-7 yrs,4,4,36.0,3,More than 1
Creditworthy,Some Balance,6,Paid Up,Home Related,709,£100-£1000,< 1yr,2,1,27.0,2,1
Creditworthy,No Account,6,No Problems (in this bank),Home Related,932,£100-£1000,1-4 yrs,1,2,39.0,2,More than 1
Creditworthy,Some Balance,6,No Problems (in this bank),Home Related,1047,None,< 1yr,2,2,50.0,2,1
Creditworthy,No Account,6,Paid Up,Home Related,1068,None,4-7 yrs,4,3,28.0,2,1
Creditworthy,No Account,6,Paid Up,Home Related,1203,< £100,4-7 yrs,3,2,43.0,2,1
Creditworthy,Some Balance,6,No Problems (in this bank),Used car,1221,£100-£1000,< 1yr,1,2,27.0,2,More than 1
Creditworthy,Some Balance,6,Paid Up,New car,1236,£100-£1000,< 1yr,2,2,50.0,1,1
Creditworthy,Some Balance,6,Paid Up,Home Related,1338,£100-£1000,< 1yr,1,1,62.0,2,1
Creditworthy,Some Balance,6,Paid Up,Home Related,1346,< £100,4-7 yrs,2,4,42.0,3,1
Creditworthy,No Account,6,No Problems (in this bank),Home Related,1361,None,< 1yr,2,1,40.0,2,1
Creditworthy,No Account,6,Paid Up,Used car,1374,None,< 1yr,1,1,36.0,2,1
Creditworthy,No Account,6,Paid Up,Home Related,1374,£100-£1000,< 1yr,4,2,75.0,2,1
Creditworthy,No Account,6,No Problems (in this bank),Home Related,1449,< £100,4-7 yrs,1,3,31.0,2,More than 1
Creditworthy,Some Balance,6,Paid Up,Home Related,1538,None,< 1yr,1,4,56.0,2,1
Creditworthy,Some Balance,6,Paid Up,Used car,1543,£100-£1000,< 1yr,4,1,33.0,2,1
Creditworthy,Some Balance,6,No Problems (in this bank),Home Related,1898,£100-£1000,< 1yr,1,1,34.0,2,More than 1
Creditworthy,No Account,6,Paid Up,Home Related,2063,None,< 1yr,4,3,30.0,1,1
Creditworthy,Some Balance,6,Paid Up,Home Related,2108,None,1-4 yrs,2,1,29.0,1,1
Creditworthy,Some Balance,6,Paid Up,Used car,2116,None,< 1yr,2,1,41.0,2,1
Creditworthy,Some Balance,6,Paid Up,Used car,2978,£100-£1000,< 1yr,1,3,32.0,2,1
Creditworthy,No Account,6,No Problems (in this bank),Home Related,3676,None,< 1yr,1,1,37.0,1,More than 1
Non-Creditworthy,Some Balance,6,Paid Up,Used car,4611,None,< 1yr,1,2,32.0,2,1
Creditworthy,No Account,6,No Problems (in this bank),Home Related,4716,£100-£1000,< 1yr,1,1,44.0,2,More than 1
Creditworthy,Some Balance,6,No Problems (in this bank),Home Related,6761,None,1-4 yrs,1,4,45.0,2,More than 1
Non-Creditworthy,No Account,6,Paid Up,Home Related,14555,£100-£1000,< 1yr,1,2,23.0,2,1
Non-Creditworthy,No Account,6,Paid Up,Home Related,14896,None,4-7 yrs,1,4,68.0,2,1
Creditworthy,Some Balance,7,No Problems (in this bank),Home Related,730,£100-£1000,4-7 yrs,4,2,46.0,1,More than 1
Creditworthy,Some Balance,7,No Problems (in this bank),Home Related,846,£100-£1000,4-7 yrs,3,4,36.0,3,1
Creditworthy,No Account,7,Paid Up,Home Related,2576,None,< 1yr,2,1,35.0,2,1
Creditworthy,No Account,8,Paid Up,Home Related,760,None,1-4 yrs,4,1,44.0,2,1
Creditworthy,No Account,8,Paid Up,Home Related,907,None,< 1yr,3,1,26.0,2,1
Creditworthy,No Account,8,No Problems (in this bank),Home Related,1164,None,4-7 yrs,3,4,51.0,3,More than 1
Creditworthy,No Account,8,Paid Up,Home Related,1414,None,< 1yr,4,1,33.0,2,1
Creditworthy,No Account,8,No Problems (in this bank),Home Related,3398,None,1-4 yrs,1,1,39.0,2,More than 1
Creditworthy,No Account,9,Paid Up,Home Related,276,None,< 1yr,4,1,22.0,1,1
Non-Creditworthy,Some Balance,9,Paid Up,Home Related,745,None,< 1yr,3,1,28.0,2,1
Creditworthy,Some Balance,9,No Problems (in this bank),Home Related,936,£100-£1000,4-7 yrs,4,3,52.0,2,More than 1
Non-Creditworthy,No Account,9,Paid Up,Used car,959,None,< 1yr,1,3,29.0,2,1
Creditworthy,No Account,9,No Problems (in this bank),Home Related,1138,None,< 1yr,4,1,25.0,2,More than 1
Creditworthy,No Account,9,No Problems (in this bank),Home Related,1154,None,4-7 yrs,2,1,37.0,2,More than 1
Creditworthy,No Account,9,Paid Up,Other,1199,None,1-4 yrs,4,2,33.0,2,More than 1
Creditworthy,No Account,9,Paid Up,Home Related,1199,None,1-4 yrs,4,2,67.0,2,More than 1
Creditworthy,Some Balance,9,No Problems (in this bank),Home Related,1224,None,< 1yr,3,1,30.0,2,More than 1
Creditworthy,Some Balance,9,No Problems (in this bank),Home Related,1244,£100-£1000,4-7 yrs,4,2,41.0,1,More than 1
Non-Creditworthy,Some Balance,9,Some Problems,Home Related,1337,None,< 1yr,4,3,34.0,2,More than 1
