account-balance,duration-of-credit-month,payment-status-of-previous-credit,purpose,credit-amount,value-savings-stocks,length-of-current-employment,most-valuable-available-asset,age-years,type-of-apartment,no-of-credits-at-this-bank,no-of-dependents
No Account,9,No Problems (in this bank),Home Related,2799,None,< 1yr,1,36,1,More than 1,2
No Account,12,No Problems (in this bank),Home Related,2122,None,< 1yr,1,39,1,More than 1,2
No Account,24,Paid Up,Home Related,3758,£100-£1000,< 1yr,4,23,1,1,1
No Account,11,No Problems (in this bank),Home Related,3905,None,< 1yr,1,36,1,More than 1,2
No Account,6,No Problems (in this bank),Home Related,1957,None,1-4 yrs,3,31,2,1,1
No Account,6,Paid Up,Home Related,2647,£100-£1000,< 1yr,1,44,1,1,2
No Account,36,No Problems (in this bank),Home Related,2337,None,4-7 yrs,1,36,2,1,1
Some Balance,11,No Problems (in this bank),Home Related,7228,None,< 1yr,2,39,2,More than 1,1
No Account,36,Paid Up,Home Related,2384,None,< 1yr,4,33,1,1,1
No Account,11,No Problems (in this bank),Home Related,4771,None,1-4 yrs,2,51,2,1,1
Some Balance,15,Paid Up,Home Related,3556,£100-£1000,< 1yr,4,29,2,1,1
Some Balance,42,No Problems (in this bank),New car,4796,None,4-7 yrs,4,56,3,1,1
Some Balance,36,No Problems (in this bank),Home Related,6614,None,4-7 yrs,3,34,2,More than 1,1
No Account,15,Paid Up,Home Related,1721,None,< 1yr,1,36,2,1,1
No Account,6,No Problems (in this bank),Home Related,860,None,4-7 yrs,4,39,2,More than 1,1
Some Balance,12,No Problems (in this bank),Home Related,1495,None,4-7 yrs,1,38,2,More than 1,2
Some Balance,12,No Problems (in this bank),Home Related,1934,None,4-7 yrs,4,26,2,More than 1,1
Some Balance,18,Paid Up,New car,3378,£100-£1000,< 1yr,2,31,2,1,1
No Account,24,Paid Up,Home Related,1755,None,4-7 yrs,1,58,2,1,1
No Account,18,Paid Up,Home Related,1239,£100-£1000,< 1yr,4,61,3,1,1
Some Balance,24,Paid Up,Home Related,1474,< £100,< 1yr,1,33,2,1,1
Some Balance,12,Paid Up,Home Related,640,None,< 1yr,1,49,2,1,1
Some Balance,36,Paid Up,Home Related,3919,None,< 1yr,1,23,2,1,1
Some Balance,12,No Problems (in this bank),Home Related,2331,£100-£1000,4-7 yrs,1,49,2,1,1
Some Balance,24,Paid Up,New car,6313,£100-£1000,4-7 yrs,3,41,2,1,2
Some Balance,12,No Problems (in this bank),Home Related,1655,None,4-7 yrs,1,63,2,More than 1,1
No Account,15,Paid Up,Home Related,1053,None,< 1yr,1,27,2,1,1
Some Balance,12,No Problems (in this bank),Home Related,1163,£100-£1000,< 1yr,1,44,2,1,1
Some Balance,36,No Problems (in this bank),Home Related,10875,None,4-7 yrs,3,45,2,More than 1,2
No Account,12,No Problems (in this bank),Home Related,1344,None,< 1yr,1,43,2,More than 1,2
Some Balance,6,No Problems (in this bank),Home Related,1237,< £100,< 1yr,2,27,2,More than 1,1
Some Balance,12,Paid Up,Home Related,3077,None,< 1yr,3,52,2,1,1
Some Balance,24,Paid Up,Home Related,2284,None,1-4 yrs,3,28,2,1,1
No Account,12,Paid Up,Home Related,1567,None,< 1yr,3,22,2,1,1
Some Balance,24,No Problems (in this bank),Home Related,2032,None,4-7 yrs,4,60,3,More than 1,1
No Account,21,No Problems (in this bank),Home Related,1602,None,4-7 yrs,3,30,2,More than 1,1
Some Balance,15,Paid Up,Home Related,1979,£100-£1000,4-7 yrs,3,35,2,1,1
Some Balance,36,No Problems (in this bank),Home Related,3342,£100-£1000,4-7 yrs,3,51,2,1,1
No Account,18,Paid Up,Home Related,5866,< £100,< 1yr,3,30,2,More than 1,1
Some Balance,15,No Problems (in this bank),New car,2360,£100-£1000,< 1yr,3,36,2,1,1
No Account,12,Paid Up,Home Related,3651,£100-£1000,< 1yr,2,31,2,1,2
No Account,18,No Problems (in this bank),Used car,6361,None,4-7 yrs,4,41,2,1,1
Some Balance,27,No Problems (in this bank),Used car,4526,£100-£1000,< 1yr,1,32,2,More than 1,2
No Account,9,Paid Up,Used car,2136,None,< 1yr,1,25,2,1,1
Some Balance,24,No Problems (in this bank),Used car,3777,£100-£1000,< 1yr,1,40,2,1,1
No Account,15,Paid Up,Home Related,806,None,< 1yr,2,22,2,1,1
No Account,24,No Problems (in this bank),Home Related,4712,£100-£1000,< 1yr,2,34,2,More than 1,1
Some Balance,12,No Problems (in this bank),Home Related,1412,None,< 1yr,1,29,2,More than 1,1
Some Balance,24,Paid Up,Home Related,1533,None,< 1yr,3,38,2,1,1
No Account,15,Paid Up,Home Related,3959,None,< 1yr,2,29,2,1,1
No Account,6,Paid Up,Used car,428,None,4-7 yrs,2,49,2,1,1
No Account,12,No Problems (in this bank),Home Related,2366,£100-£1000,1-4 yrs,3,36,2,1,1
No Account,18,Paid Up,Home Related,6260,None,1-4 yrs,1,28,1,1,1
Some Balance,24,Paid Up,New car,2603,£100-£1000,< 1yr,3,28,1,1,1
Some Balance,24,Paid Up,Used car,3062,£100-£1000,4-7 yrs,4,32,1,1,1
No Account,36,Paid Up,Home Related,4795,None,< 1yr,4,30,2,1,1
Some Balance,36,No Problems (in this bank),New car,5842,None,4-7 yrs,2,35,2,More than 1,2
Some Balance,15,Paid Up,Home Related,1213,£100-£1000,4-7 yrs,2,47,2,1,1
Some Balance,15,Paid Up,Home Related,874,£100-£1000,< 1yr,1,24,2,1,1
Some Balance,18,Paid Up,Home Related,1820,None,< 1yr,2,30,2,1,1
Some Balance,24,No Problems (in this bank),Home Related,3148,£100-£1000,< 1yr,3,31,2,More than 1,1
Some Balance,36,Paid Up,Home Related,3835,£100-£1000,4-7 yrs,1,45,2,1,1
Some Balance,9,Paid Up,Home Related,3832,£100-£1000,4-7 yrs,1,64,2,1,1
No Account,24,Paid Up,Home Related,5084,£100-£1000,4-7 yrs,3,42,2,1,1
Some Balance,21,Paid Up,New car,2476,£100-£1000,4-7 yrs,1,46,2,1,1
No Account,24,Paid Up,New car,2964,£100-£1000,4-7 yrs,4,49,3,1,2
No Account,12,Paid Up,Used car,1262,£100-£1000,4-7 yrs,2,49,2,1,1
Some Balance,12,Paid Up,Home Related,1542,None,1-4 yrs,3,36,2,1,1
Some Balance,12,Some Problems,Home Related,409,£100-£1000,< 1yr,1,42,1,More than 1,1
No Account,24,Paid Up,Home Related,3512,< £100,1-4 yrs,3,38,2,More than 1,1
No Account,12,Paid Up,Home Related,1498,None,< 1yr,3,23,2,1,1
No Account,48,Some Problems,Home Related,6416,None,4-7 yrs,4,59,1,1,1
No Account,12,No Problems (in this bank),Used car,3617,None,4-7 yrs,3,28,1,More than 1,1
Some Balance,12,No Problems (in this bank),Home Related,1291,None,< 1yr,2,35,2,More than 1,1
Some Balance,24,Paid Up,Used car,3972,None,1-4 yrs,2,25,1,1,1
Some Balance,15,Paid Up,Home Related,392,None,< 1yr,2,23,1,1,1
Some Balance,30,No Problems (in this bank),Home Related,5771,None,1-4 yrs,3,25,2,More than 1,1
Some Balance,6,No Problems (in this bank),Home Related,1382,None,< 1yr,3,28,2,More than 1,1
Some Balance,12,Paid Up,Home Related,1297,None,< 1yr,1,23,1,1,1
Some Balance,12,Paid Up,Home Related,1963,None,1-4 yrs,3,31,1,More than 1,2
No Account,12,No Problems (in this bank),New car,1804,< £100,< 1yr,2,44,2,1,1
Some Balance,18,Paid Up,Home Related,1950,None,1-4 yrs,3,34,2,More than 1,1
Some Balance,48,No Problems (in this bank),Home Related,12749,£100-£1000,1-4 yrs,3,37,2,1,1
Some Balance,9,Paid Up,Home Related,1236,None,< 1yr,1,23,1,1,1
No Account,30,Some Problems,Home Related,8072,£100-£1000,< 1yr,3,25,2,More than 1,1
Some Balance,30,No Problems (in this bank),Home Related,2831,None,< 1yr,3,33,2,1,1
Some Balance,36,Paid Up,Home Related,5742,< £100,1-4 yrs,3,31,2,More than 1,1
Some Balance,12,Paid Up,Home Related,2390,£100-£1000,4-7 yrs,3,50,2,1,1
Some Balance,21,Paid Up,Home Related,2923,< £100,< 1yr,3,28,2,1,1
No Account,48,Paid Up,Home Related,8487,£100-£1000,1-4 yrs,3,24,2,1,1
Some Balance,24,Paid Up,Home Related,2255,£100-£1000,< 1yr,2,54,2,1,1
Some Balance,18,No Problems (in this bank),Used car,1817,None,< 1yr,4,28,2,More than 1,1
Some Balance,18,Some Problems,Home Related,1445,£100-£1000,1-4 yrs,3,49,2,1,1
No Account,24,Paid Up,Used car,7721,£100-£1000,< 1yr,2,30,2,1,1
No Account,21,Paid Up,Home Related,3763,£100-£1000,1-4 yrs,1,24,2,1,1
No Account,15,Paid Up,Home Related,1444,£100-£1000,< 1yr,2,23,2,1,1
Some Balance,9,Paid Up,Home Related,2753,< £100,4-7 yrs,3,35,2,1,1
No Account,24,Some Problems,Used car,2483,£100-£1000,< 1yr,1,22,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,1299,None,< 1yr,1,74,2,More than 1,2
Some Balance,10,Paid Up,Home Related,1287,£100-£1000,4-7 yrs,2,45,2,1,1
No Account,18,Some Problems,Home Related,1940,None,< 1yr,4,36,3,1,1
Some Balance,24,No Problems (in this bank),New car,4679,None,1-4 yrs,3,35,2,More than 1,1
No Account,18,Paid Up,Used car,2659,£100-£1000,< 1yr,3,28,2,1,1
Some Balance,14,No Problems (in this bank),Home Related,802,None,< 1yr,3,27,2,More than 1,1
Some Balance,21,Paid Up,Home Related,1572,£100-£1000,4-7 yrs,1,36,2,1,1
Some Balance,6,Some Problems,Home Related,426,None,4-7 yrs,3,39,2,1,1
No Account,30,Paid Up,New car,3857,None,< 1yr,2,40,2,1,1
No Account,12,Paid Up,Home Related,685,None,1-4 yrs,3,25,2,1,1
No Account,24,Paid Up,Home Related,1603,None,4-7 yrs,3,55,2,1,1
Some Balance,4,Paid Up,Used car,601,None,< 1yr,1,23,1,1,2
Some Balance,15,No Problems (in this bank),Home Related,1316,£100-£1000,< 1yr,2,47,2,More than 1,1
Some Balance,60,Paid Up,Home Related,10366,None,4-7 yrs,2,42,2,1,1
Some Balance,18,Paid Up,Home Related,1568,< £100,< 1yr,2,24,1,1,1
Some Balance,18,No Problems (in this bank),Home Related,629,£100-£1000,4-7 yrs,2,32,2,More than 1,1
Some Balance,6,Some Problems,Home Related,1750,£100-£1000,4-7 yrs,2,45,2,1,2
Some Balance,24,Paid Up,New car,3488,< £100,1-4 yrs,3,23,2,1,1
No Account,15,Paid Up,Home Related,2631,< £100,< 1yr,1,25,2,1,1
Some Balance,21,Paid Up,New car,5248,£100-£1000,< 1yr,3,26,2,1,1
No Account,18,No Problems (in this bank),Home Related,6204,None,< 1yr,1,44,2,1,2
Some Balance,12,Paid Up,Home Related,804,None,4-7 yrs,3,38,2,1,1
No Account,15,No Problems (in this bank),Used car,3643,None,4-7 yrs,2,27,2,More than 1,1
Some Balance,10,No Problems (in this bank),Used car,2146,None,< 1yr,1,23,1,More than 1,1
Some Balance,5,Paid Up,Home Related,3448,None,1-4 yrs,1,74,2,1,1
Some Balance,15,Paid Up,Used car,2708,None,< 1yr,2,27,2,More than 1,1
Some Balance,22,Paid Up,Home Related,2675,£100-£1000,4-7 yrs,3,40,2,1,1
No Account,9,Paid Up,Home Related,2118,None,< 1yr,1,37,2,1,2
Some Balance,15,Some Problems,Home Related,1569,< £100,4-7 yrs,3,34,2,1,2
Some Balance,36,No Problems (in this bank),Used car,7678,£100-£1000,1-4 yrs,3,40,2,More than 1,1
Some Balance,12,Some Problems,Home Related,3447,£100-£1000,< 1yr,1,35,2,1,2
Some Balance,15,Paid Up,Home Related,3568,None,4-7 yrs,3,54,1,1,1
No Account,21,No Problems (in this bank),Home Related,3652,None,1-4 yrs,2,27,2,More than 1,1
No Account,24,Paid Up,Home Related,3660,None,< 1yr,3,28,2,1,1
Some Balance,9,Paid Up,Home Related,1126,< £100,4-7 yrs,1,49,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,683,None,< 1yr,2,29,2,1,1
Some Balance,12,Paid Up,Used car,2251,None,< 1yr,3,46,2,1,1
Some Balance,12,Paid Up,New car,4675,£100-£1000,< 1yr,3,20,1,1,1
No Account,21,No Problems (in this bank),Home Related,2353,None,< 1yr,2,47,2,More than 1,1
Some Balance,6,Paid Up,Home Related,672,None,< 1yr,1,54,2,1,1
No Account,6,No Problems (in this bank),Home Related,338,£100-£1000,4-7 yrs,3,52,2,More than 1,1
Some Balance,9,Paid Up,Home Related,2507,£100-£1000,4-7 yrs,4,51,3,1,1
Some Balance,15,No Problems (in this bank),Home Related,1478,None,< 1yr,1,33,2,More than 1,1
Some Balance,12,No Problems (in this bank),Home Related,3565,£100-£1000,< 1yr,2,37,2,More than 1,2
Some Balance,9,Paid Up,Used car,2301,< £100,< 1yr,2,22,1,1,1
Some Balance,6,No Problems (in this bank),Home Related,1743,< £100,< 1yr,1,34,2,More than 1,1
Some Balance,18,No Problems (in this bank),Home Related,2320,None,< 1yr,1,34,2,More than 1,1
Some Balance,24,Paid Up,Home Related,5152,None,1-4 yrs,3,25,2,1,1
Some Balance,9,No Problems (in this bank),Home Related,3074,£100-£1000,< 1yr,1,33,2,More than 1,2
Some Balance,6,Some Problems,Home Related,783,£100-£1000,< 1yr,1,26,2,1,2
No Account,21,Paid Up,Home Related,2606,None,< 1yr,2,28,1,1,1
Some Balance,54,Some Problems,New car,9436,£100-£1000,< 1yr,2,39,2,1,2
Some Balance,6,No Problems (in this bank),Home Related,250,£100-£1000,< 1yr,1,41,2,More than 1,1
No Account,6,Paid Up,Home Related,662,None,< 1yr,1,41,2,1,2
Some Balance,24,Some Problems,Home Related,1559,None,1-4 yrs,3,40,2,1,1
Some Balance,12,Paid Up,Home Related,3016,None,< 1yr,3,24,2,1,1
Some Balance,6,Some Problems,Home Related,1204,< £100,< 1yr,4,35,1,1,1
Some Balance,10,Paid Up,Home Related,1597,£100-£1000,< 1yr,4,40,1,1,2
Some Balance,12,Paid Up,Home Related,2073,< £100,< 1yr,1,28,2,1,1
No Account,10,No Problems (in this bank),Used car,2132,£100-£1000,< 1yr,1,27,1,More than 1,1
Some Balance,10,Paid Up,Home Related,1418,< £100,< 1yr,1,35,1,1,1
Some Balance,6,No Problems (in this bank),Home Related,1343,None,4-7 yrs,1,46,2,More than 1,2
Some Balance,18,Paid Up,Home Related,2662,£100-£1000,1-4 yrs,2,32,2,1,1
Some Balance,18,No Problems (in this bank),Home Related,6070,None,4-7 yrs,3,33,2,More than 1,1
Some Balance,6,No Problems (in this bank),Home Related,1554,None,1-4 yrs,3,24,1,More than 1,1
No Account,9,No Problems (in this bank),Home Related,1288,< £100,4-7 yrs,1,48,2,More than 1,2
No Account,10,No Problems (in this bank),Home Related,1038,None,1-4 yrs,2,49,2,More than 1,1
Some Balance,10,Paid Up,New car,2848,< £100,< 1yr,1,32,2,1,2
Some Balance,12,Paid Up,New car,1413,£100-£1000,1-4 yrs,2,55,2,1,1
Some Balance,18,No Problems (in this bank),New car,3229,£100-£1000,< 1yr,4,38,2,1,1
Some Balance,9,Paid Up,Home Related,3577,< £100,< 1yr,1,26,1,1,2
Some Balance,10,Paid Up,Home Related,1924,None,< 1yr,2,38,2,1,1
Some Balance,10,Paid Up,Home Related,727,£100-£1000,4-7 yrs,4,46,3,1,1
Some Balance,10,No Problems (in this bank),Home Related,781,None,4-7 yrs,4,63,3,More than 1,1
Some Balance,10,No Problems (in this bank),Used car,2069,£100-£1000,< 1yr,3,26,2,More than 1,1
Some Balance,24,Paid Up,Home Related,1525,£100-£1000,1-4 yrs,3,34,2,1,2
Some Balance,48,No Problems (in this bank),Home Related,7629,£100-£1000,4-7 yrs,3,46,2,More than 1,2
No Account,12,No Problems (in this bank),Home Related,3499,None,< 1yr,1,29,2,More than 1,1
No Account,24,Paid Up,New car,2924,None,< 1yr,4,63,2,1,2
Some Balance,10,No Problems (in this bank),Home Related,1231,None,4-7 yrs,1,32,2,More than 1,2
Some Balance,15,No Problems (in this bank),Home Related,5045,£100-£1000,4-7 yrs,3,59,2,1,1
Some Balance,12,No Problems (in this bank),Home Related,1255,None,4-7 yrs,1,61,2,More than 1,1
Some Balance,12,Some Problems,Used car,2759,None,4-7 yrs,2,34,2,More than 1,1
No Account,15,Paid Up,Home Related,1403,None,< 1yr,3,28,1,1,1
No Account,24,Paid Up,Home Related,6568,None,< 1yr,3,21,2,1,1
No Account,24,No Problems (in this bank),New car,7758,£100-£1000,4-7 yrs,4,29,1,1,1
Some Balance,21,No Problems (in this bank),Used car,1591,< £100,1-4 yrs,1,34,2,More than 1,1
No Account,27,Paid Up,Home Related,3416,None,< 1yr,3,27,2,1,1
No Account,15,Paid Up,Home Related,1514,< £100,< 1yr,1,22,2,1,1
Some Balance,30,No Problems (in this bank),Home Related,6742,£100-£1000,1-4 yrs,2,36,2,More than 1,1
No Account,9,Paid Up,Home Related,458,None,< 1yr,1,24,2,1,1
No Account,9,Paid Up,Used car,918,None,< 1yr,2,30,2,1,1
No Account,24,Paid Up,New car,2812,£100-£1000,4-7 yrs,1,26,1,1,1
Some Balance,12,No Problems (in this bank),Home Related,1480,£100-£1000,< 1yr,4,66,3,More than 1,1
No Account,9,Paid Up,Home Related,1206,None,4-7 yrs,1,25,2,1,1
Some Balance,12,Paid Up,Home Related,707,None,< 1yr,1,30,2,More than 1,1
No Account,12,Paid Up,Home Related,6078,None,1-4 yrs,3,32,2,1,1
No Account,27,Paid Up,Home Related,2528,None,< 1yr,2,32,2,1,2
No Account,6,Paid Up,New car,1352,£100-£1000,< 1yr,2,23,1,1,1
Some Balance,24,Paid Up,Home Related,3181,None,< 1yr,2,26,2,1,1
No Account,48,Paid Up,Home Related,5381,£100-£1000,< 1yr,4,40,3,1,1
No Account,18,Paid Up,Home Related,1913,£100-£1000,< 1yr,1,36,2,1,1
Some Balance,12,No Problems (in this bank),Home Related,976,£100-£1000,4-7 yrs,3,35,2,More than 1,1
Some Balance,24,No Problems (in this bank),Home Related,2375,£100-£1000,< 1yr,3,44,2,More than 1,2
Some Balance,12,No Problems (in this bank),Home Related,522,£100-£1000,4-7 yrs,2,42,2,More than 1,2
Some Balance,18,No Problems (in this bank),Home Related,1169,£100-£1000,< 1yr,2,29,2,More than 1,1
No Account,15,No Problems (in this bank),Used car,1478,None,4-7 yrs,3,44,2,More than 1,2
Some Balance,12,Paid Up,Home Related,776,None,< 1yr,1,28,2,1,1
